"Subject" "Location" "TrialNum" "Target1" "Target2" "Resp1" "Resp2"
"026" "E" 8 11 10 11 11
"026" "E" 11 11 10 14 11
"026" "E" 18 11 10 15 10
"026" "E" 19 11 10 14 11
"027" "A" 5 2 10 3 10
"027" "A" 8 2 10 4 11
"027" "A" 10 2 10 4 10
"027" "A" 22 2 10 2 10
"027" "A" 25 2 10 2 11
"027" "B" 6 5 5 9 6
"027" "B" 7 5 5 11 4
"027" "B" 14 5 5 5 6
"027" "B" 20 5 5 6 6
"027" "B" 24 5 5 7 8
"027" "C" 3 9 3 13 5
"027" "C" 12 9 3 15 5
"027" "C" 13 9 3 13 5
"027" "C" 21 9 3 11 5
"027" "C" 23 9 3 13 3
"027" "D" 1 2 1 4 4
"027" "D" 2 2 1 4 3
"027" "D" 4 2 1 5 3
"027" "D" 11 2 1 3 5
"027" "D" 19 2 1 3 3
"027" "E" 9 11 10 16 11
"027" "E" 15 11 10 17 11
"027" "E" 16 11 10 17 9
"027" "E" 17 11 10 17 9
"027" "E" 18 11 10 18 9
"028" "A" 2 2 10 6 10
"028" "A" 8 2 10 4 11
"028" "A" 15 2 10 5 9
"028" "A" 18 2 10 4 10
"028" "A" 20 2 10 6 11
"028" "B" 6 5 5 11 7
"028" "B" 14 5 5 11 5
"028" "B" 19 5 5 11 8
"028" "B" 21 5 5 11 7
"028" "B" 25 5 5 11 6
"028" "C" 3 9 3 13 3
"028" "C" 5 9 3 14 1
"028" "C" 7 9 3 14 4
"028" "C" 12 9 3 16 2
"028" "C" 23 9 3 15 3
"028" "D" 1 2 1 4 3
"028" "D" 4 2 1 5 5
"028" "D" 9 2 1 4 2
"028" "D" 11 2 1 3 2
"028" "D" 13 2 1 5 2
"028" "E" 10 11 10 17 11
"028" "E" 16 11 10 17 11
"028" "E" 17 11 10 17 11
"028" "E" 22 11 10 16 11
"028" "E" 24 11 10 16 11
"029" "A" 4 2 10 2 10
"029" "A" 8 2 10 3 9
"029" "A" 13 2 10 3 8
"029" "A" 14 2 10 3 9
"029" "A" 23 2 10 4 9
"029" "B" 6 5 5 10 5
"029" "B" 18 5 5 11 4
"029" "B" 19 5 5 11 6
"029" "B" 24 5 5 9 5
"029" "B" 25 5 5 9 4
"029" "C" 1 9 3 19 2
"029" "C" 5 9 3 18 2
"029" "C" 12 9 3 15 2
"029" "C" 21 9 3 16 2
"029" "C" 22 9 3 18 1
"029" "D" 2 2 1 3 2
"029" "D" 9 2 1 3 2
"029" "D" 10 2 1 3 2
"029" "D" 11 2 1 3 1
"029" "D" 15 2 1 4 1
"029" "E" 3 11 10 18 10
"029" "E" 7 11 10 16 11
"029" "E" 16 11 10 18 11
"029" "E" 17 11 10 17 10
"029" "E" 20 11 10 19 11
"030" "A" 9 2 10 3 11
"030" "A" 18 2 10 5 11
"030" "A" 22 2 10 3 10
"030" "A" 23 2 10 4 11
"030" "A" 25 2 10 3 10
"030" "B" 5 5 5 10 6
"030" "B" 6 5 5 10 8
"030" "B" 8 5 5 10 9
"030" "B" 10 5 5 6 10
"030" "B" 13 5 5 8 9
"030" "C" 2 9 3 18 2
"030" "C" 3 9 3 15 1
"030" "C" 4 9 3 13 2
"030" "C" 12 9 3 15 2
"030" "C" 17 9 3 14 4
"030" "D" 1 2 1 3 1
"030" "D" 7 2 1 3 2
"030" "D" 11 2 1 1 3
"030" "D" 21 2 1 3 3
"030" "D" 24 2 1 1 3
"030" "E" 14 11 10 13 11
"030" "E" 15 11 10 14 11
"030" "E" 16 11 10 12 11
"030" "E" 19 11 10 13 11
"030" "E" 20 11 10 11 11
"037" "A" 5 2 10 1 11
"037" "A" 14 2 10 3 10
"037" "A" 19 2 10 1 11
"037" "A" 22 2 10 2 11
"037" "A" 23 2 10 2 11
"037" "B" 8 5 5 10 6
"037" "B" 15 5 5 9 7
"037" "B" 17 5 5 12 5
"037" "B" 21 5 5 11 6
"037" "B" 24 5 5 12 4
"037" "C" 3 9 3 12 1
"037" "C" 4 9 3 16 1
"037" "C" 9 9 3 16 3
"037" "C" 11 9 3 16 1
"037" "C" 20 9 3 15 2
"037" "D" 1 2 1 3 1
"037" "D" 2 2 1 1 1
"037" "D" 6 2 1 1 2
"037" "D" 10 2 1 2 2
"037" "D" 16 2 1 1 1
"037" "E" 7 11 10 16 11
"037" "E" 12 11 10 16 10
"037" "E" 13 11 10 16 11
"037" "E" 18 11 10 17 11
"037" "E" 25 11 10 17 11
"038" "A" 5 2 10 3 10
"038" "A" 9 2 10 6 11
"038" "A" 20 2 10 6 11
"038" "A" 22 2 10 5 11
"038" "A" 23 2 10 4 10
"038" "B" 3 5 5 7 5
"038" "B" 12 5 5 10 5
"038" "B" 15 5 5 10 7
"038" "B" 16 5 5 9 7
"038" "B" 18 5 5 11 6
"038" "C" 4 9 3 9 3
"038" "C" 11 9 3 10 5
"038" "C" 14 9 3 12 4
"038" "C" 19 9 3 12 4
"038" "C" 24 9 3 12 4
"038" "D" 1 2 1 6 4
"038" "D" 2 2 1 5 4
"038" "D" 8 2 1 3 5
"038" "D" 13 2 1 4 4
"038" "D" 25 2 1 4 3
"038" "E" 6 11 10 15 11
"038" "E" 7 11 10 14 11
"038" "E" 10 11 10 15 11
"038" "E" 17 11 10 15 11
"038" "E" 21 11 10 16 11
"039" "A" 3 2 10 4 11
"039" "A" 16 2 10 2 11
"039" "A" 18 2 10 1 10
"039" "A" 21 2 10 2 11
"039" "A" 25 2 10 4 11
"039" "B" 5 5 5 6 11
"039" "B" 8 5 5 6 11
"039" "B" 11 5 5 6 9
"039" "B" 12 5 5 5 10
"039" "B" 23 5 5 6 11
"039" "C" 1 9 3 7 1
"039" "C" 6 9 3 15 6
"039" "C" 7 9 3 13 3
"039" "C" 13 9 3 10 7
"039" "C" 22 9 3 10 8
"039" "D" 9 2 1 3 4
"039" "D" 14 2 1 2 6
"039" "D" 15 2 1 2 7
"039" "D" 17 2 1 2 5
"039" "D" 20 2 1 3 7
"039" "E" 2 11 10 16 11
"039" "E" 4 11 10 12 7
"039" "E" 10 11 10 14 11
